time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.011141	__proteinX_rbs	0.000000	0.000000	0.000000
1.011141	__proteinY_rbs	0.000000	0.000000	0.000000
1.011141	__proteinZ_rbs	0.000000	0.000000	0.000000
1.011141	__ribosome	98.000000	0.000000	0.000000
1.011141	__rnase_site	0.000000	0.000000	0.000000
1.011141	__rnase_site_ext	1.000000	0.000000	0.000000
1.011141	p1	0.000000	0.000000	0.000000
1.011141	p2	1.000000	0.000000	0.000000
1.011141	p3	1.000000	0.000000	0.000000
1.011141	proteinX	0.000000	2.000000	1.000000
1.011141	rnapol	0.000000	0.000000	0.000000
1.999237	__proteinX_rbs	2.000000	0.000000	0.000000
1.999237	__proteinY_rbs	0.000000	0.000000	0.000000
1.999237	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999237	__ribosome	96.000000	0.000000	0.000000
1.999237	__rnase_site	2.000000	0.000000	0.000000
1.999237	__rnase_site_ext	2.000000	0.000000	0.000000
1.999237	p1	1.000000	0.000000	0.000000
1.999237	p2	1.000000	0.000000	0.000000
1.999237	p3	1.000000	0.000000	0.000000
1.999237	proteinX	0.000000	4.000000	1.000000
1.999237	rnapol	0.000000	0.000000	0.000000
3.003932	__proteinX_rbs	3.000000	0.000000	0.000000
3.003932	__proteinY_rbs	0.000000	0.000000	0.000000
3.003932	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003932	__ribosome	94.000000	0.000000	0.000000
3.003932	__rnase_site	5.000000	0.000000	0.000000
3.003932	__rnase_site_ext	5.000000	0.000000	0.000000
3.003932	p1	1.000000	0.000000	0.000000
3.003932	p2	1.000000	0.000000	0.000000
3.003932	p3	1.000000	0.000000	0.000000
3.003932	proteinX	0.000000	5.000000	1.200000
3.003932	rnapol	0.000000	0.000000	0.000000
4.000904	__proteinX_rbs	3.000000	0.000000	0.000000
4.000904	__proteinY_rbs	0.000000	0.000000	0.000000
4.000904	__proteinZ_rbs	0.000000	0.000000	0.000000
4.000904	__ribosome	90.000000	0.000000	0.000000
4.000904	__rnase_site	4.000000	0.000000	0.000000
4.000904	__rnase_site_ext	4.000000	0.000000	0.000000
4.000904	p1	1.000000	0.000000	0.000000
4.000904	p2	1.000000	0.000000	0.000000
4.000904	p3	1.000000	0.000000	0.000000
4.000904	proteinX	1.000000	6.000000	1.666667
4.000904	rnapol	0.000000	0.000000	0.000000
5.004090	__proteinX_rbs	5.000000	0.000000	0.000000
5.004090	__proteinY_rbs	0.000000	0.000000	0.000000
5.004090	__proteinZ_rbs	0.000000	0.000000	0.000000
5.004090	__ribosome	86.000000	0.000000	0.000000
5.004090	__rnase_site	7.000000	0.000000	0.000000
5.004090	__rnase_site_ext	8.000000	0.000000	0.000000
5.004090	p1	1.000000	0.000000	0.000000
5.004090	p2	1.000000	0.000000	0.000000
5.004090	p3	1.000000	0.000000	0.000000
5.004090	proteinX	3.000000	7.000000	2.000000
5.004090	rnapol	0.000000	0.000000	0.000000
6.001458	__proteinX_rbs	4.000000	0.000000	0.000000
6.001458	__proteinY_rbs	0.000000	0.000000	0.000000
6.001458	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001458	__ribosome	80.000000	0.000000	0.000000
6.001458	__rnase_site	4.000000	0.000000	0.000000
6.001458	__rnase_site_ext	4.000000	0.000000	0.000000
6.001458	p1	1.000000	0.000000	0.000000
6.001458	p2	1.000000	0.000000	0.000000
6.001458	p3	1.000000	0.000000	0.000000
6.001458	proteinX	4.000000	8.000000	2.500000
6.001458	rnapol	0.000000	0.000000	0.000000
7.000942	__proteinX_rbs	4.000000	0.000000	0.000000
7.000942	__proteinY_rbs	0.000000	0.000000	0.000000
7.000942	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000942	__ribosome	78.000000	0.000000	0.000000
7.000942	__rnase_site	5.000000	0.000000	0.000000
7.000942	__rnase_site_ext	6.000000	0.000000	0.000000
7.000942	p1	1.000000	0.000000	0.000000
7.000942	p2	1.000000	0.000000	0.000000
7.000942	p3	1.000000	0.000000	0.000000
7.000942	proteinX	9.000000	8.000000	2.750000
7.000942	rnapol	0.000000	0.000000	0.000000
7.999917	__proteinX_rbs	5.000000	0.000000	0.000000
7.999917	__proteinY_rbs	0.000000	0.000000	0.000000
7.999917	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999917	__ribosome	77.000000	0.000000	0.000000
7.999917	__rnase_site	6.000000	0.000000	0.000000
7.999917	__rnase_site_ext	6.000000	0.000000	0.000000
7.999917	p1	0.000000	0.000000	0.000000
7.999917	p2	1.000000	0.000000	0.000000
7.999917	p3	1.000000	0.000000	0.000000
7.999917	proteinX	17.000000	10.000000	2.300000
7.999917	rnapol	0.000000	0.000000	0.000000
8.999241	__proteinX_rbs	7.000000	0.000000	0.000000
8.999241	__proteinY_rbs	0.000000	0.000000	0.000000
8.999241	__proteinZ_rbs	0.000000	0.000000	0.000000
