time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
0.9993559999999999	__proteinX_rbs	0.0	0.0	0.0
0.9993559999999999	__proteinY_rbs	0.0	0.0	0.0
0.9993559999999999	__proteinZ_rbs	0.0	0.0	0.0
0.9993559999999999	__ribosome	98.0	0.0	0.0
0.9993559999999999	__rnase_site	0.0	0.0	0.0
0.9993559999999999	__rnase_site_ext	1.0	0.0	0.0
0.9993559999999999	p1	0.0	0.0	0.0
0.9993559999999999	proteinX	0.0	2.0	1.0
0.9993559999999999	rnapol	0.0	0.0	0.0
1.9994299999999998	__proteinX_rbs	2.0	0.0	0.0
1.9994299999999998	__proteinY_rbs	0.0	0.0	0.0
1.9994299999999998	__proteinZ_rbs	0.0	0.0	0.0
1.9994299999999998	__ribosome	96.0	0.0	0.0
1.9994299999999998	__rnase_site	0.0	0.0	0.0
1.9994299999999998	__rnase_site_ext	2.0	0.0	0.0
1.9994299999999998	p1	1.0	0.0	0.0
1.9994299999999998	proteinX	0.0	4.0	1.0
1.9994299999999998	rnapol	0.0	0.0	0.0
2.9995130000000003	__proteinX_rbs	2.0	0.0	0.0
2.9995130000000003	__proteinY_rbs	0.0	0.0	0.0
2.9995130000000003	__proteinZ_rbs	0.0	0.0	0.0
2.9995130000000003	__ribosome	93.0	0.0	0.0
2.9995130000000003	__rnase_site	0.0	0.0	0.0
2.9995130000000003	__rnase_site_ext	2.0	0.0	0.0
2.9995130000000003	p1	1.0	0.0	0.0
2.9995130000000003	proteinX	0.0	3.0	2.333333
2.9995130000000003	rnapol	0.0	0.0	0.0
3.999346	__proteinX_rbs	1.0	0.0	0.0
