time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.001302	__proteinX_rbs	0.000000	0.000000	0.000000
1.001302	__proteinY_rbs	0.000000	0.000000	0.000000
1.001302	__proteinZ_rbs	0.000000	0.000000	0.000000
1.001302	__ribosome	98.000000	0.000000	0.000000
1.001302	__rnase_site	0.000000	0.000000	0.000000
1.001302	__rnase_site_ext	1.000000	0.000000	0.000000
1.001302	p1	0.000000	0.000000	0.000000
1.001302	p2	1.000000	0.000000	0.000000
1.001302	p3	1.000000	0.000000	0.000000
1.001302	proteinX	0.000000	2.000000	1.000000
1.001302	rnapol	0.000000	0.000000	0.000000
2.003642	__proteinX_rbs	2.000000	0.000000	0.000000
2.003642	__proteinY_rbs	0.000000	0.000000	0.000000
2.003642	__proteinZ_rbs	0.000000	0.000000	0.000000
2.003642	__ribosome	96.000000	0.000000	0.000000
2.003642	__rnase_site	0.000000	0.000000	0.000000
2.003642	__rnase_site_ext	2.000000	0.000000	0.000000
2.003642	p1	1.000000	0.000000	0.000000
2.003642	p2	1.000000	0.000000	0.000000
2.003642	p3	1.000000	0.000000	0.000000
2.003642	proteinX	0.000000	4.000000	1.000000
2.003642	rnapol	0.000000	0.000000	0.000000
3.001363	__proteinX_rbs	0.000000	0.000000	0.000000
3.001363	__proteinY_rbs	0.000000	0.000000	0.000000
3.001363	__proteinZ_rbs	0.000000	0.000000	0.000000
3.001363	__ribosome	91.000000	0.000000	0.000000
3.001363	__rnase_site	0.000000	0.000000	0.000000
3.001363	__rnase_site_ext	2.000000	0.000000	0.000000
3.001363	p1	1.000000	0.000000	0.000000
3.001363	p2	1.000000	0.000000	0.000000
3.001363	p3	1.000000	0.000000	0.000000
3.001363	proteinX	0.000000	4.000000	2.250000
3.001363	rnapol	0.000000	0.000000	0.000000
4.002861	__proteinX_rbs	3.000000	0.000000	0.000000
4.002861	__proteinY_rbs	0.000000	0.000000	0.000000
4.002861	__proteinZ_rbs	0.000000	0.000000	0.000000
4.002861	__ribosome	87.000000	0.000000	0.000000
4.002861	__rnase_site	0.000000	0.000000	0.000000
4.002861	__rnase_site_ext	3.000000	0.000000	0.000000
4.002861	p1	0.000000	0.000000	0.000000
4.002861	p2	0.000000	0.000000	0.000000
4.002861	p3	1.000000	0.000000	0.000000
4.002861	proteinX	1.000000	5.000000	2.600000
4.002861	rnapol	0.000000	0.000000	0.000000
4.999341	__proteinX_rbs	3.000000	0.000000	0.000000
4.999341	__proteinY_rbs	1.000000	0.000000	0.000000
4.999341	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999341	__ribosome	85.000000	0.000000	0.000000
4.999341	__rnase_site	0.000000	0.000000	0.000000
4.999341	__rnase_site_ext	4.000000	0.000000	0.000000
4.999341	p1	1.000000	0.000000	0.000000
4.999341	p2	1.000000	0.000000	0.000000
4.999341	p3	1.000000	0.000000	0.000000
4.999341	proteinX	2.000000	5.000000	3.000000
4.999341	proteinY	0.000000	1.000000	0.000000
4.999341	rnapol	0.000000	0.000000	0.000000
6.000147	__proteinX_rbs	2.000000	0.000000	0.000000
6.000147	__proteinY_rbs	1.000000	0.000000	0.000000
6.000147	__proteinZ_rbs	0.000000	0.000000	0.000000
6.000147	__ribosome	81.000000	0.000000	0.000000
6.000147	__rnase_site	0.000000	0.000000	0.000000
6.000147	__rnase_site_ext	3.000000	0.000000	0.000000
6.000147	p1	0.000000	0.000000	0.000000
6.000147	p2	1.000000	0.000000	0.000000
6.000147	p3	1.000000	0.000000	0.000000
6.000147	proteinX	5.000000	5.000000	3.200000
6.000147	proteinY	0.000000	2.000000	1.500000
6.000147	rnapol	0.000000	0.000000	0.000000
6.999989	__proteinX_rbs	4.000000	0.000000	0.000000
6.999989	__proteinY_rbs	1.000000	0.000000	0.000000
6.999989	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999989	__ribosome	81.000000	0.000000	0.000000
6.999989	__rnase_site	0.000000	0.000000	0.000000
6.999989	__rnase_site_ext	4.000000	0.000000	0.000000
6.999989	p1	1.000000	0.000000	0.000000
6.999989	p2	0.000000	0.000000	0.000000
6.999989	p3	1.000000	0.000000	0.000000
6.999989	proteinX	12.000000	6.000000	2.333333
6.999989	proteinY	0.000000	2.000000	2.500000
6.999989	rnapol	0.000000	0.000000	0.000000
7.999978	__proteinX_rbs	3.000000	0.000000	0.000000
7.999978	__proteinY_rbs	2.000000	0.000000	0.000000
7.999978	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999978	__ribosome	78.000000	0.000000	0.000000
7.999978	__rnase_site	0.000000	0.000000	0.000000
7.999978	__rnase_site_ext	5.000000	0.000000	0.000000
7.999978	p1	1.000000	0.000000	0.000000
7.999978	p2	1.000000	0.000000	0.000000
7.999978	p3	0.000000	0.000000	0.000000
7.999978	proteinX	15.000000	6.000000	2.500000
7.999978	proteinY	0.000000	2.000000	3.500000
