start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	11152595334.395952	11152662602.138268	0.0
122	131	1145126.5342227358	1131998.9962614109	0.0
293	302	1285248.2462735602	1191772.307965532	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
281	291	0.0	0.0	0.0
155	156	0.16894232326134712	0.16894232326134712	0.0
303	304	0.9973508757959662	0.9973508757959662	0.0
449	450	0.6808215640901573	0.6808215640901573	0.0
0	0	0.0	0.0	2.356407873005796
0	0	0.0	0.0	-0.2754468911630545
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
