time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.004525	__proteinX_rbs	0.000000	0.000000	0.000000
1.004525	__proteinY_rbs	0.000000	0.000000	0.000000
1.004525	__proteinZ_rbs	0.000000	0.000000	0.000000
1.004525	__ribosome	98.000000	0.000000	0.000000
1.004525	__rnase_site	0.000000	0.000000	0.000000
1.004525	__rnase_site_ext	2.000000	0.000000	0.000000
1.004525	p1	0.000000	0.000000	0.000000
1.004525	proteinX	0.000000	2.000000	1.000000
1.004525	rnapol	0.000000	0.000000	0.000000
2.005511	__proteinX_rbs	2.000000	0.000000	0.000000
2.005511	__proteinY_rbs	0.000000	0.000000	0.000000
2.005511	__proteinZ_rbs	0.000000	0.000000	0.000000
2.005511	__ribosome	96.000000	0.000000	0.000000
2.005511	__rnase_site	2.000000	0.000000	0.000000
2.005511	__rnase_site_ext	3.000000	0.000000	0.000000
2.005511	p1	1.000000	0.000000	0.000000
2.005511	proteinX	0.000000	4.000000	1.000000
2.005511	rnapol	0.000000	0.000000	0.000000
2.999707	__proteinX_rbs	2.000000	0.000000	0.000000
2.999707	__proteinY_rbs	0.000000	0.000000	0.000000
2.999707	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999707	__ribosome	92.000000	0.000000	0.000000
2.999707	__rnase_site	2.000000	0.000000	0.000000
2.999707	__rnase_site_ext	3.000000	0.000000	0.000000
2.999707	p1	1.000000	0.000000	0.000000
2.999707	proteinX	0.000000	4.000000	2.000000
2.999707	rnapol	0.000000	0.000000	0.000000
4.001637	__proteinX_rbs	4.000000	0.000000	0.000000
4.001637	__proteinY_rbs	0.000000	0.000000	0.000000
4.001637	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001637	__ribosome	88.000000	0.000000	0.000000
4.001637	__rnase_site	4.000000	0.000000	0.000000
4.001637	__rnase_site_ext	4.000000	0.000000	0.000000
4.001637	p1	1.000000	0.000000	0.000000
4.001637	proteinX	1.000000	6.000000	2.000000
4.001637	rnapol	0.000000	0.000000	0.000000
4.999218	__proteinX_rbs	3.000000	0.000000	0.000000
4.999218	__proteinY_rbs	0.000000	0.000000	0.000000
4.999218	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999218	__ribosome	85.000000	0.000000	0.000000
4.999218	__rnase_site	4.000000	0.000000	0.000000
4.999218	__rnase_site_ext	4.000000	0.000000	0.000000
4.999218	p1	0.000000	0.000000	0.000000
4.999218	proteinX	3.000000	6.000000	2.500000
4.999218	rnapol	0.000000	0.000000	0.000000
5.999193	__proteinX_rbs	5.000000	0.000000	0.000000
5.999193	__proteinY_rbs	0.000000	0.000000	0.000000
5.999193	__proteinZ_rbs	0.000000	0.000000	0.000000
5.999193	__ribosome	84.000000	0.000000	0.000000
5.999193	__rnase_site	5.000000	0.000000	0.000000
5.999193	__rnase_site_ext	6.000000	0.000000	0.000000
5.999193	p1	1.000000	0.000000	0.000000
5.999193	proteinX	7.000000	8.000000	2.000000
5.999193	rnapol	1.000000	0.000000	0.000000
7.001276	__proteinX_rbs	7.000000	0.000000	0.000000
7.001276	__proteinY_rbs	0.000000	0.000000	0.000000
7.001276	__proteinZ_rbs	0.000000	0.000000	0.000000
7.001276	__ribosome	80.000000	0.000000	0.000000
7.001276	__rnase_site	8.000000	0.000000	0.000000
7.001276	__rnase_site_ext	8.000000	0.000000	0.000000
7.001276	p1	1.000000	0.000000	0.000000
7.001276	proteinX	10.000000	9.000000	2.222222
7.001276	rnapol	0.000000	0.000000	0.000000
8.000524	__proteinX_rbs	6.000000	0.000000	0.000000
8.000524	__proteinY_rbs	0.000000	0.000000	0.000000
8.000524	__proteinZ_rbs	0.000000	0.000000	0.000000
8.000524	__ribosome	79.000000	0.000000	0.000000
8.000524	__rnase_site	7.000000	0.000000	0.000000
8.000524	__rnase_site_ext	7.000000	0.000000	0.000000
8.000524	p1	1.000000	0.000000	0.000000
8.000524	proteinX	17.000000	9.000000	2.333333
8.000524	rnapol	0.000000	0.000000	0.000000
9.001461	__proteinX_rbs	6.000000	0.000000	0.000000
9.001461	__proteinY_rbs	0.000000	0.000000	0.000000
9.001461	__proteinZ_rbs	0.000000	0.000000	0.000000
9.001461	__ribosome	74.000000	0.000000	0.000000
9.001461	__rnase_site	6.000000	0.000000	0.000000
9.001461	__rnase_site_ext	6.000000	0.000000	0.000000
9.001461	p1	1.000000	0.000000	0.000000
9.001461	proteinX	21.000000	10.000000	2.600000
9.001461	rnapol	0.000000	0.000000	0.000000
10.002389	__proteinX_rbs	6.000000	0.000000	0.000000
10.002389	__proteinY_rbs	0.000000	0.000000	0.000000
10.002389	__proteinZ_rbs	0.000000	0.000000	0.000000
10.002389	__ribosome	75.000000	0.000000	0.000000
10.002389	__rnase_site	6.000000	0.000000	0.000000
10.002389	__rnase_site_ext	6.000000	0.000000	0.000000
10.002389	p1	0.000000	0.000000	0.000000
10.002389	proteinX	30.000000	11.000000	2.272727
10.002389	rnapol	0.000000	0.000000	0.000000
