time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	p3	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
1.002524	__proteinX_rbs	0.000000	0.000000	0.000000
1.002524	__proteinY_rbs	0.000000	0.000000	0.000000
1.002524	__proteinZ_rbs	0.000000	0.000000	0.000000
1.002524	__ribosome	98.000000	0.000000	0.000000
1.002524	__rnase_site	0.000000	0.000000	0.000000
1.002524	__rnase_site_ext	1.000000	0.000000	0.000000
1.002524	p1	0.000000	0.000000	0.000000
1.002524	p2	1.000000	0.000000	0.000000
1.002524	p3	1.000000	0.000000	0.000000
1.002524	proteinX	0.000000	2.000000	1.000000
1.002524	rnapol	0.000000	0.000000	0.000000
1.999893	__proteinX_rbs	2.000000	0.000000	0.000000
1.999893	__proteinY_rbs	0.000000	0.000000	0.000000
1.999893	__proteinZ_rbs	0.000000	0.000000	0.000000
1.999893	__ribosome	96.000000	0.000000	0.000000
1.999893	__rnase_site	0.000000	0.000000	0.000000
1.999893	__rnase_site_ext	2.000000	0.000000	0.000000
1.999893	p1	1.000000	0.000000	0.000000
1.999893	p2	1.000000	0.000000	0.000000
1.999893	p3	1.000000	0.000000	0.000000
1.999893	proteinX	0.000000	4.000000	1.000000
1.999893	rnapol	0.000000	0.000000	0.000000
3.003505	__proteinX_rbs	5.000000	0.000000	0.000000
3.003505	__proteinY_rbs	0.000000	0.000000	0.000000
3.003505	__proteinZ_rbs	0.000000	0.000000	0.000000
3.003505	__ribosome	94.000000	0.000000	0.000000
3.003505	__rnase_site	0.000000	0.000000	0.000000
3.003505	__rnase_site_ext	5.000000	0.000000	0.000000
3.003505	p1	1.000000	0.000000	0.000000
3.003505	p2	1.000000	0.000000	0.000000
3.003505	p3	1.000000	0.000000	0.000000
3.003505	proteinX	0.000000	5.000000	1.200000
3.003505	rnapol	0.000000	0.000000	0.000000
4.001375	__proteinX_rbs	4.000000	0.000000	0.000000
4.001375	__proteinY_rbs	1.000000	0.000000	0.000000
4.001375	__proteinZ_rbs	0.000000	0.000000	0.000000
4.001375	__ribosome	91.000000	0.000000	0.000000
4.001375	__rnase_site	0.000000	0.000000	0.000000
4.001375	__rnase_site_ext	5.000000	0.000000	0.000000
4.001375	p1	1.000000	0.000000	0.000000
4.001375	p2	1.000000	0.000000	0.000000
4.001375	p3	1.000000	0.000000	0.000000
4.001375	proteinX	1.000000	5.000000	1.800000
4.001375	proteinY	0.000000	1.000000	0.000000
4.001375	rnapol	0.000000	0.000000	0.000000
4.999580	__proteinX_rbs	3.000000	0.000000	0.000000
4.999580	__proteinY_rbs	1.000000	0.000000	0.000000
4.999580	__proteinZ_rbs	0.000000	0.000000	0.000000
4.999580	__ribosome	86.000000	0.000000	0.000000
4.999580	__rnase_site	0.000000	0.000000	0.000000
4.999580	__rnase_site_ext	5.000000	0.000000	0.000000
4.999580	p1	1.000000	0.000000	0.000000
4.999580	p2	1.000000	0.000000	0.000000
4.999580	p3	1.000000	0.000000	0.000000
4.999580	proteinX	3.000000	6.000000	2.166667
4.999580	proteinY	0.000000	1.000000	1.000000
4.999580	rnapol	0.000000	0.000000	0.000000
6.001338	__proteinX_rbs	2.000000	0.000000	0.000000
6.001338	__proteinY_rbs	1.000000	0.000000	0.000000
6.001338	__proteinZ_rbs	0.000000	0.000000	0.000000
6.001338	__ribosome	80.000000	0.000000	0.000000
6.001338	__rnase_site	0.000000	0.000000	0.000000
6.001338	__rnase_site_ext	5.000000	0.000000	0.000000
6.001338	p1	1.000000	0.000000	0.000000
6.001338	p2	1.000000	0.000000	0.000000
6.001338	p3	1.000000	0.000000	0.000000
6.001338	proteinX	5.000000	8.000000	2.375000
6.001338	proteinY	0.000000	1.000000	1.000000
6.001338	rnapol	0.000000	0.000000	0.000000
7.000011	__proteinX_rbs	3.000000	0.000000	0.000000
7.000011	__proteinY_rbs	0.000000	0.000000	0.000000
7.000011	__proteinZ_rbs	0.000000	0.000000	0.000000
7.000011	__ribosome	78.000000	0.000000	0.000000
7.000011	__rnase_site	0.000000	0.000000	0.000000
7.000011	__rnase_site_ext	5.000000	0.000000	0.000000
7.000011	p1	1.000000	0.000000	0.000000
7.000011	p2	1.000000	0.000000	0.000000
7.000011	p3	1.000000	0.000000	0.000000
7.000011	proteinX	9.000000	7.000000	2.857143
7.000011	proteinY	0.000000	1.000000	2.000000
7.000011	rnapol	0.000000	0.000000	0.000000
7.999284	__proteinX_rbs	5.000000	0.000000	0.000000
7.999284	__proteinY_rbs	0.000000	0.000000	0.000000
7.999284	__proteinZ_rbs	0.000000	0.000000	0.000000
7.999284	__ribosome	73.000000	0.000000	0.000000
7.999284	__rnase_site	1.000000	0.000000	0.000000
7.999284	__rnase_site_ext	5.000000	0.000000	0.000000
7.999284	p1	0.000000	0.000000	0.000000
7.999284	p2	1.000000	0.000000	0.000000
7.999284	p3	1.000000	0.000000	0.000000
7.999284	proteinX	14.000000	9.000000	2.666667
