time	species	transcript
1	proteinX	0.2
1	proteinY	0.3
1	proteinZ	0.4
2	proteinX	0.4
2	proteinY	0.6
2	proteinZ	0.8
3	proteinX	0.6000000000000001
3	proteinY	0.8999999999999999
3	proteinZ	1.2000000000000002
4	proteinX	0.8
4	proteinY	1.2
4	proteinZ	1.6
5	proteinX	1.0
5	proteinY	1.5
5	proteinZ	2.0
6	proteinX	1.2000000000000002
6	proteinY	1.7999999999999998
6	proteinZ	2.4000000000000004
7	proteinX	1.4000000000000001
7	proteinY	2.1
7	proteinZ	2.8000000000000003
8	proteinX	1.6
8	proteinY	2.4
8	proteinZ	3.2
9	proteinX	1.8
9	proteinY	2.6999999999999997
9	proteinZ	3.6
10	proteinX	2.0
10	proteinY	3.0
10	proteinZ	4.0
11	proteinX	2.2
11	proteinY	3.3
11	proteinZ	4.4
12	proteinX	2.4000000000000004
12	proteinY	3.5999999999999996
12	proteinZ	4.800000000000001
13	proteinX	2.6
13	proteinY	3.9
13	proteinZ	5.2
14	proteinX	2.8000000000000003
14	proteinY	4.2
14	proteinZ	5.6000000000000005
15	proteinX	3.0
15	proteinY	4.5
15	proteinZ	6.0
16	proteinX	3.2
16	proteinY	4.8
16	proteinZ	6.4
17	proteinX	3.4000000000000004
17	proteinY	5.1
17	proteinZ	6.800000000000001
18	proteinX	3.6
18	proteinY	5.3999999999999995
18	proteinZ	7.2
19	proteinX	3.8000000000000003
19	proteinY	5.7
19	proteinZ	7.6000000000000005
20	proteinX	4.0
20	proteinY	6.0
20	proteinZ	8.0
21	proteinX	4.2
21	proteinY	6.3
21	proteinZ	8.4
22	proteinX	4.4
22	proteinY	6.6
22	proteinZ	8.8
23	proteinX	4.6000000000000005
23	proteinY	6.8999999999999995
23	proteinZ	9.200000000000001
24	proteinX	4.800000000000001
24	proteinY	7.199999999999999
24	proteinZ	9.600000000000001
25	proteinX	5.0
25	proteinY	7.5
25	proteinZ	10.0
26	proteinX	5.2
26	proteinY	7.8
26	proteinZ	10.4
27	proteinX	5.4
27	proteinY	8.1
27	proteinZ	10.8
28	proteinX	5.6000000000000005
28	proteinY	8.4
28	proteinZ	11.200000000000001
29	proteinX	5.800000000000001
29	proteinY	8.7
29	proteinZ	11.600000000000001
30	proteinX	6.0
30	proteinY	9.0
30	proteinZ	12.0
31	proteinX	6.2
31	proteinY	9.299999999999999
31	proteinZ	12.4
32	proteinX	6.4
32	proteinY	9.6
32	proteinZ	12.8
33	proteinX	6.6000000000000005
33	proteinY	9.9
33	proteinZ	13.200000000000001
34	proteinX	6.800000000000001
34	proteinY	10.2
34	proteinZ	13.600000000000001
35	proteinX	7.0
35	proteinY	10.5
35	proteinZ	14.0
36	proteinX	7.2
36	proteinY	10.799999999999999
36	proteinZ	14.4
37	proteinX	7.4
37	proteinY	11.1
37	proteinZ	14.8
38	proteinX	7.6000000000000005
38	proteinY	11.4
38	proteinZ	15.200000000000001
39	proteinX	7.800000000000001
39	proteinY	11.7
39	proteinZ	15.600000000000001
40	proteinX	8.0
40	proteinY	12.0
40	proteinZ	16.0
41	proteinX	8.200000000000001
41	proteinY	12.299999999999999
41	proteinZ	16.400000000000002
42	proteinX	8.4
42	proteinY	12.6
42	proteinZ	16.8
43	proteinX	8.6
43	proteinY	12.9
43	proteinZ	17.2
44	proteinX	8.8
44	proteinY	13.2
44	proteinZ	17.6
45	proteinX	9.0
45	proteinY	13.5
45	proteinZ	18.0
46	proteinX	9.200000000000001
46	proteinY	13.799999999999999
46	proteinZ	18.400000000000002
47	proteinX	9.4
47	proteinY	14.1
47	proteinZ	18.8
48	proteinX	9.600000000000001
48	proteinY	14.399999999999999
48	proteinZ	19.200000000000003
49	proteinX	9.8
49	proteinY	14.7
49	proteinZ	19.6
50	proteinX	10.0
50	proteinY	15.0
50	proteinZ	20.0
51	proteinX	10.200000000000001
51	proteinY	15.299999999999999
51	proteinZ	20.400000000000002
52	proteinX	10.4
52	proteinY	15.6
52	proteinZ	20.8
53	proteinX	10.600000000000001
53	proteinY	15.899999999999999
53	proteinZ	21.200000000000003
54	proteinX	10.8
54	proteinY	16.2
54	proteinZ	21.6
55	proteinX	11.0
55	proteinY	16.5
55	proteinZ	22.0
56	proteinX	11.200000000000001
56	proteinY	16.8
56	proteinZ	22.400000000000002
57	proteinX	11.4
57	proteinY	17.099999999999998
57	proteinZ	22.8
58	proteinX	11.600000000000001
58	proteinY	17.4
58	proteinZ	23.200000000000003
59	proteinX	11.8
59	proteinY	17.7
59	proteinZ	23.6
60	proteinX	12.0
60	proteinY	18.0
60	proteinZ	24.0
61	proteinX	12.200000000000001
61	proteinY	18.3
61	proteinZ	24.400000000000002
62	proteinX	12.4
62	proteinY	18.599999999999998
62	proteinZ	24.8
63	proteinX	12.600000000000001
63	proteinY	18.9
63	proteinZ	25.200000000000003
64	proteinX	12.8
64	proteinY	19.2
64	proteinZ	25.6
65	proteinX	13.0
65	proteinY	19.5
65	proteinZ	26.0
66	proteinX	13.200000000000001
66	proteinY	19.8
66	proteinZ	26.400000000000002
67	proteinX	13.4
67	proteinY	20.099999999999998
67	proteinZ	26.8
68	proteinX	13.600000000000001
68	proteinY	20.4
68	proteinZ	27.200000000000003
69	proteinX	13.8
69	proteinY	20.7
69	proteinZ	27.6
70	proteinX	14.0
70	proteinY	21.0
70	proteinZ	28.0
71	proteinX	14.200000000000001
71	proteinY	21.3
71	proteinZ	28.400000000000002
72	proteinX	14.4
72	proteinY	21.599999999999998
72	proteinZ	28.8
73	proteinX	14.600000000000001
73	proteinY	21.9
73	proteinZ	29.200000000000003
74	proteinX	14.8
74	proteinY	22.2
74	proteinZ	29.6
75	proteinX	15.0
75	proteinY	22.5
75	proteinZ	30.0
76	proteinX	15.200000000000001
76	proteinY	22.8
76	proteinZ	30.400000000000002
77	proteinX	15.4
77	proteinY	23.099999999999998
77	proteinZ	30.8
78	proteinX	15.600000000000001
78	proteinY	23.4
78	proteinZ	31.200000000000003
79	proteinX	15.8
79	proteinY	23.7
79	proteinZ	31.6
80	proteinX	16.0
80	proteinY	24.0
80	proteinZ	32.0
81	proteinX	16.2
81	proteinY	24.3
81	proteinZ	32.4
82	proteinX	16.400000000000002
82	proteinY	24.599999999999998
82	proteinZ	32.800000000000004
83	proteinX	16.6
83	proteinY	24.9
83	proteinZ	33.2
84	proteinX	16.8
84	proteinY	25.2
84	proteinZ	33.6
85	proteinX	17.0
85	proteinY	25.5
85	proteinZ	34.0
86	proteinX	17.2
86	proteinY	25.8
86	proteinZ	34.4
87	proteinX	17.400000000000002
87	proteinY	26.099999999999998
87	proteinZ	34.800000000000004
88	proteinX	17.6
88	proteinY	26.4
88	proteinZ	35.2
89	proteinX	17.8
89	proteinY	26.7
89	proteinZ	35.6
90	proteinX	18.0
90	proteinY	27.0
90	proteinZ	36.0
91	proteinX	18.2
91	proteinY	27.3
91	proteinZ	36.4
92	proteinX	18.400000000000002
92	proteinY	27.599999999999998
92	proteinZ	36.800000000000004
93	proteinX	18.6
93	proteinY	27.9
93	proteinZ	37.2
94	proteinX	18.8
94	proteinY	28.2
94	proteinZ	37.6
95	proteinX	19.0
95	proteinY	28.5
95	proteinZ	38.0
96	proteinX	19.200000000000003
96	proteinY	28.799999999999997
96	proteinZ	38.400000000000006
97	proteinX	19.400000000000002
97	proteinY	29.099999999999998
97	proteinZ	38.800000000000004
98	proteinX	19.6
98	proteinY	29.4
98	proteinZ	39.2
99	proteinX	19.8
99	proteinY	29.7
99	proteinZ	39.6
100	proteinX	20.0
100	proteinY	30.0
100	proteinZ	40.0
101	proteinX	20.200000000000003
101	proteinY	30.299999999999997
101	proteinZ	40.400000000000006
102	proteinX	20.400000000000002
102	proteinY	30.599999999999998
102	proteinZ	40.800000000000004
103	proteinX	20.6
103	proteinY	30.9
103	proteinZ	41.2
104	proteinX	20.8
104	proteinY	31.2
104	proteinZ	41.6
105	proteinX	21.0
105	proteinY	31.5
105	proteinZ	42.0
106	proteinX	21.200000000000003
106	proteinY	31.799999999999997
106	proteinZ	42.400000000000006
107	proteinX	21.400000000000002
107	proteinY	32.1
107	proteinZ	42.800000000000004
108	proteinX	21.6
108	proteinY	32.4
108	proteinZ	43.2
109	proteinX	21.8
109	proteinY	32.699999999999996
109	proteinZ	43.6
110	proteinX	22.0
110	proteinY	33.0
110	proteinZ	44.0
111	proteinX	22.200000000000003
111	proteinY	33.3
111	proteinZ	44.400000000000006
112	proteinX	22.400000000000002
112	proteinY	33.6
112	proteinZ	44.800000000000004
113	proteinX	22.6
113	proteinY	33.9
113	proteinZ	45.2
114	proteinX	22.8
114	proteinY	34.199999999999996
114	proteinZ	45.6
115	proteinX	23.0
115	proteinY	34.5
115	proteinZ	46.0
116	proteinX	23.200000000000003
116	proteinY	34.8
116	proteinZ	46.400000000000006
117	proteinX	23.400000000000002
117	proteinY	35.1
117	proteinZ	46.800000000000004
118	proteinX	23.6
118	proteinY	35.4
118	proteinZ	47.2
119	proteinX	23.8
119	proteinY	35.699999999999996
119	proteinZ	47.6
120	proteinX	24.0
120	proteinY	36.0
120	proteinZ	48.0
121	proteinX	24.200000000000003
121	proteinY	36.3
121	proteinZ	48.400000000000006
122	proteinX	24.400000000000002
122	proteinY	36.6
122	proteinZ	48.800000000000004
123	proteinX	24.6
123	proteinY	36.9
123	proteinZ	49.2
124	proteinX	24.8
124	proteinY	37.199999999999996
124	proteinZ	49.6
125	proteinX	25.0
125	proteinY	37.5
125	proteinZ	50.0
126	proteinX	25.200000000000003
126	proteinY	37.8
126	proteinZ	50.400000000000006
127	proteinX	25.400000000000002
127	proteinY	38.1
127	proteinZ	50.800000000000004
128	proteinX	25.6
128	proteinY	38.4
128	proteinZ	51.2
129	proteinX	25.8
129	proteinY	38.699999999999996
129	proteinZ	51.6
130	proteinX	26.0
130	proteinY	39.0
130	proteinZ	52.0
131	proteinX	26.200000000000003
131	proteinY	39.3
131	proteinZ	52.400000000000006
132	proteinX	26.400000000000002
132	proteinY	39.6
132	proteinZ	52.800000000000004
133	proteinX	26.6
133	proteinY	39.9
133	proteinZ	53.2
134	proteinX	26.8
134	proteinY	40.199999999999996
134	proteinZ	53.6
135	proteinX	27.0
135	proteinY	40.5
135	proteinZ	54.0
136	proteinX	27.200000000000003
136	proteinY	40.8
136	proteinZ	54.400000000000006
137	proteinX	27.400000000000002
137	proteinY	41.1
137	proteinZ	54.800000000000004
138	proteinX	27.6
138	proteinY	41.4
138	proteinZ	55.2
139	proteinX	27.8
139	proteinY	41.699999999999996
139	proteinZ	55.6
140	proteinX	28.0
140	proteinY	42.0
140	proteinZ	56.0
141	proteinX	28.200000000000003
141	proteinY	42.3
141	proteinZ	56.400000000000006
142	proteinX	28.400000000000002
142	proteinY	42.6
142	proteinZ	56.800000000000004
143	proteinX	28.6
143	proteinY	42.9
143	proteinZ	57.2
144	proteinX	28.8
144	proteinY	43.199999999999996
144	proteinZ	57.6
145	proteinX	29.0
145	proteinY	43.5
145	proteinZ	58.0
146	proteinX	29.200000000000003
146	proteinY	43.8
146	proteinZ	58.400000000000006
147	proteinX	29.400000000000002
147	proteinY	44.1
147	proteinZ	58.800000000000004
148	proteinX	29.6
148	proteinY	44.4
148	proteinZ	59.2
149	proteinX	29.8
149	proteinY	44.699999999999996
149	proteinZ	59.6
150	proteinX	30.0
150	proteinY	45.0
150	proteinZ	60.0
151	proteinX	30.200000000000003
151	proteinY	45.3
151	proteinZ	60.400000000000006
152	proteinX	30.400000000000002
152	proteinY	45.6
152	proteinZ	60.800000000000004
153	proteinX	30.6
153	proteinY	45.9
153	proteinZ	61.2
154	proteinX	30.8
154	proteinY	46.199999999999996
154	proteinZ	61.6
155	proteinX	31.0
155	proteinY	46.5
155	proteinZ	62.0
156	proteinX	31.200000000000003
156	proteinY	46.8
156	proteinZ	62.400000000000006
157	proteinX	31.400000000000002
157	proteinY	47.1
157	proteinZ	62.800000000000004
158	proteinX	31.6
158	proteinY	47.4
158	proteinZ	63.2
159	proteinX	31.8
159	proteinY	47.699999999999996
159	proteinZ	63.6
160	proteinX	32.0
160	proteinY	48.0
160	proteinZ	64.0
161	proteinX	32.2
161	proteinY	48.3
161	proteinZ	64.4
162	proteinX	32.4
162	proteinY	48.6
162	proteinZ	64.8
163	proteinX	32.6
163	proteinY	48.9
163	proteinZ	65.2
164	proteinX	32.800000000000004
164	proteinY	49.199999999999996
164	proteinZ	65.60000000000001
165	proteinX	33.0
165	proteinY	49.5
165	proteinZ	66.0
166	proteinX	33.2
166	proteinY	49.8
166	proteinZ	66.4
167	proteinX	33.4
167	proteinY	50.1
167	proteinZ	66.8
168	proteinX	33.6
168	proteinY	50.4
168	proteinZ	67.2
169	proteinX	33.800000000000004
169	proteinY	50.699999999999996
169	proteinZ	67.60000000000001
170	proteinX	34.0
170	proteinY	51.0
170	proteinZ	68.0
171	proteinX	34.2
171	proteinY	51.3
171	proteinZ	68.4
172	proteinX	34.4
172	proteinY	51.6
172	proteinZ	68.8
173	proteinX	34.6
173	proteinY	51.9
173	proteinZ	69.2
174	proteinX	34.800000000000004
174	proteinY	52.199999999999996
174	proteinZ	69.60000000000001
175	proteinX	35.0
175	proteinY	52.5
175	proteinZ	70.0
176	proteinX	35.2
176	proteinY	52.8
176	proteinZ	70.4
177	proteinX	35.4
177	proteinY	53.1
177	proteinZ	70.8
178	proteinX	35.6
178	proteinY	53.4
178	proteinZ	71.2
179	proteinX	35.800000000000004
179	proteinY	53.699999999999996
