time	species	protein	transcript	ribo_density
0.0	__proteinX_rbs	0.0	0.0	0.0
0.0	__proteinY_rbs	0.0	0.0	0.0
0.0	__proteinZ_rbs	0.0	0.0	0.0
0.0	__ribosome	100.0	0.0	0.0
0.0	__rnase_site	0.0	0.0	0.0
0.0	__rnase_site_ext	0.0	0.0	0.0
0.0	p1	1.0	0.0	0.0
0.0	p2	1.0	0.0	0.0
0.0	p3	1.0	0.0	0.0
0.0	rnapol	4.0	0.0	0.0
0.99918	__proteinX_rbs	0.0	0.0	0.0
0.99918	__proteinY_rbs	0.0	0.0	0.0
0.99918	__proteinZ_rbs	0.0	0.0	0.0
0.99918	__ribosome	98.0	0.0	0.0
0.99918	__rnase_site	0.0	0.0	0.0
0.99918	__rnase_site_ext	1.0	0.0	0.0
0.99918	p1	0.0	0.0	0.0
0.99918	p2	1.0	0.0	0.0
0.99918	p3	1.0	0.0	0.0
0.99918	proteinX	0.0	2.0	1.0
0.99918	rnapol	0.0	0.0	0.0
1.999255	__proteinX_rbs	2.0	0.0	0.0
1.999255	__proteinY_rbs	0.0	0.0	0.0
1.999255	__proteinZ_rbs	0.0	0.0	0.0
1.999255	__ribosome	96.0	0.0	0.0
1.999255	__rnase_site	0.0	0.0	0.0
1.999255	__rnase_site_ext	2.0	0.0	0.0
1.999255	p1	1.0	0.0	0.0
1.999255	p2	1.0	0.0	0.0
1.999255	p3	1.0	0.0	0.0
1.999255	proteinX	0.0	4.0	1.0
1.999255	rnapol	0.0	0.0	0.0
3.001736	__proteinX_rbs	3.0	0.0	0.0
3.001736	__proteinY_rbs	0.0	0.0	0.0
3.001736	__proteinZ_rbs	0.0	0.0	0.0
3.001736	__ribosome	94.0	0.0	0.0
3.001736	__rnase_site	0.0	0.0	0.0
3.001736	__rnase_site_ext	4.0	0.0	0.0
3.001736	p1	1.0	0.0	0.0
3.001736	p2	1.0	0.0	0.0
3.001736	p3	1.0	0.0	0.0
3.001736	proteinX	0.0	4.0	1.5
