time	species	transcript
1	proteinX	0.25
1	proteinY	0.3
1	proteinZ	0.1
2	proteinX	0.5
2	proteinY	0.6
2	proteinZ	0.2
3	proteinX	0.75
3	proteinY	0.8999999999999999
3	proteinZ	0.30000000000000004
4	proteinX	1.0
4	proteinY	1.2
4	proteinZ	0.4
5	proteinX	1.25
5	proteinY	1.5
5	proteinZ	0.5
6	proteinX	1.5
6	proteinY	1.7999999999999998
6	proteinZ	0.6000000000000001
7	proteinX	1.75
7	proteinY	2.1
7	proteinZ	0.7000000000000001
8	proteinX	2.0
8	proteinY	2.4
8	proteinZ	0.8
9	proteinX	2.25
9	proteinY	2.6999999999999997
9	proteinZ	0.9
10	proteinX	2.5
10	proteinY	3.0
10	proteinZ	1.0
11	proteinX	2.75
11	proteinY	3.3
11	proteinZ	1.1
12	proteinX	3.0
12	proteinY	3.5999999999999996
12	proteinZ	1.2000000000000002
13	proteinX	3.25
13	proteinY	3.9
13	proteinZ	1.3
14	proteinX	3.5
14	proteinY	4.2
14	proteinZ	1.4000000000000001
15	proteinX	3.75
15	proteinY	4.5
15	proteinZ	1.5
16	proteinX	4.0
16	proteinY	4.8
16	proteinZ	1.6
17	proteinX	4.25
17	proteinY	5.1
17	proteinZ	1.7000000000000002
18	proteinX	4.5
18	proteinY	5.3999999999999995
18	proteinZ	1.8
19	proteinX	4.75
19	proteinY	5.7
19	proteinZ	1.9000000000000001
20	proteinX	5.0
20	proteinY	6.0
20	proteinZ	2.0
21	proteinX	5.25
21	proteinY	6.3
21	proteinZ	2.1
22	proteinX	5.5
22	proteinY	6.6
22	proteinZ	2.2
23	proteinX	5.75
23	proteinY	6.8999999999999995
23	proteinZ	2.3000000000000003
24	proteinX	6.0
24	proteinY	7.199999999999999
24	proteinZ	2.4000000000000004
25	proteinX	6.25
25	proteinY	7.5
25	proteinZ	2.5
26	proteinX	6.5
26	proteinY	7.8
26	proteinZ	2.6
27	proteinX	6.75
27	proteinY	8.1
27	proteinZ	2.7
28	proteinX	7.0
28	proteinY	8.4
28	proteinZ	2.8000000000000003
29	proteinX	7.25
29	proteinY	8.7
29	proteinZ	2.9000000000000004
30	proteinX	7.5
30	proteinY	9.0
30	proteinZ	3.0
31	proteinX	7.75
31	proteinY	9.299999999999999
31	proteinZ	3.1
32	proteinX	8.0
32	proteinY	9.6
32	proteinZ	3.2
33	proteinX	8.25
33	proteinY	9.9
33	proteinZ	3.3000000000000003
34	proteinX	8.5
34	proteinY	10.2
34	proteinZ	3.4000000000000004
35	proteinX	8.75
35	proteinY	10.5
35	proteinZ	3.5
36	proteinX	9.0
36	proteinY	10.799999999999999
36	proteinZ	3.6
37	proteinX	9.25
37	proteinY	11.1
37	proteinZ	3.7
38	proteinX	9.5
38	proteinY	11.4
38	proteinZ	3.8000000000000003
39	proteinX	9.75
39	proteinY	11.7
39	proteinZ	3.9000000000000004
40	proteinX	10.0
40	proteinY	12.0
40	proteinZ	4.0
41	proteinX	10.25
41	proteinY	12.299999999999999
41	proteinZ	4.1000000000000005
42	proteinX	10.5
42	proteinY	12.6
42	proteinZ	4.2
43	proteinX	10.75
43	proteinY	12.9
43	proteinZ	4.3
44	proteinX	11.0
44	proteinY	13.2
44	proteinZ	4.4
45	proteinX	11.25
45	proteinY	13.5
45	proteinZ	4.5
46	proteinX	11.5
46	proteinY	13.799999999999999
46	proteinZ	4.6000000000000005
47	proteinX	11.75
47	proteinY	14.1
47	proteinZ	4.7
48	proteinX	12.0
48	proteinY	14.399999999999999
48	proteinZ	4.800000000000001
49	proteinX	12.25
49	proteinY	14.7
49	proteinZ	4.9
50	proteinX	12.5
50	proteinY	15.0
50	proteinZ	5.0
51	proteinX	12.75
51	proteinY	15.299999999999999
51	proteinZ	5.1000000000000005
52	proteinX	13.0
52	proteinY	15.6
52	proteinZ	5.2
53	proteinX	13.25
53	proteinY	15.899999999999999
53	proteinZ	5.300000000000001
54	proteinX	13.5
54	proteinY	16.2
54	proteinZ	5.4
55	proteinX	13.75
55	proteinY	16.5
55	proteinZ	5.5
56	proteinX	14.0
56	proteinY	16.8
56	proteinZ	5.6000000000000005
57	proteinX	14.25
57	proteinY	17.099999999999998
57	proteinZ	5.7
58	proteinX	14.5
58	proteinY	17.4
58	proteinZ	5.800000000000001
59	proteinX	14.75
59	proteinY	17.7
59	proteinZ	5.9
60	proteinX	15.0
60	proteinY	18.0
60	proteinZ	6.0
61	proteinX	15.25
61	proteinY	18.3
61	proteinZ	6.1000000000000005
62	proteinX	15.5
62	proteinY	18.599999999999998
62	proteinZ	6.2
63	proteinX	15.75
63	proteinY	18.9
63	proteinZ	6.300000000000001
64	proteinX	16.0
64	proteinY	19.2
64	proteinZ	6.4
65	proteinX	16.25
65	proteinY	19.5
65	proteinZ	6.5
66	proteinX	16.5
66	proteinY	19.8
66	proteinZ	6.6000000000000005
67	proteinX	16.75
67	proteinY	20.099999999999998
67	proteinZ	6.7
68	proteinX	17.0
68	proteinY	20.4
68	proteinZ	6.800000000000001
69	proteinX	17.25
69	proteinY	20.7
69	proteinZ	6.9
70	proteinX	17.5
70	proteinY	21.0
70	proteinZ	7.0
71	proteinX	17.75
71	proteinY	21.3
71	proteinZ	7.1000000000000005
72	proteinX	18.0
72	proteinY	21.599999999999998
72	proteinZ	7.2
73	proteinX	18.25
73	proteinY	21.9
73	proteinZ	7.300000000000001
74	proteinX	18.5
74	proteinY	22.2
74	proteinZ	7.4
75	proteinX	18.75
75	proteinY	22.5
75	proteinZ	7.5
76	proteinX	19.0
76	proteinY	22.8
76	proteinZ	7.6000000000000005
77	proteinX	19.25
77	proteinY	23.099999999999998
77	proteinZ	7.7
78	proteinX	19.5
78	proteinY	23.4
78	proteinZ	7.800000000000001
79	proteinX	19.75
79	proteinY	23.7
79	proteinZ	7.9
80	proteinX	20.0
80	proteinY	24.0
80	proteinZ	8.0
81	proteinX	20.25
81	proteinY	24.3
81	proteinZ	8.1
82	proteinX	20.5
82	proteinY	24.599999999999998
82	proteinZ	8.200000000000001
83	proteinX	20.75
83	proteinY	24.9
83	proteinZ	8.3
84	proteinX	21.0
84	proteinY	25.2
84	proteinZ	8.4
85	proteinX	21.25
85	proteinY	25.5
85	proteinZ	8.5
86	proteinX	21.5
86	proteinY	25.8
86	proteinZ	8.6
87	proteinX	21.75
87	proteinY	26.099999999999998
87	proteinZ	8.700000000000001
88	proteinX	22.0
88	proteinY	26.4
88	proteinZ	8.8
89	proteinX	22.25
89	proteinY	26.7
89	proteinZ	8.9
90	proteinX	22.5
90	proteinY	27.0
90	proteinZ	9.0
91	proteinX	22.75
91	proteinY	27.3
91	proteinZ	9.1
92	proteinX	23.0
92	proteinY	27.599999999999998
92	proteinZ	9.200000000000001
93	proteinX	23.25
93	proteinY	27.9
93	proteinZ	9.3
94	proteinX	23.5
94	proteinY	28.2
94	proteinZ	9.4
95	proteinX	23.75
95	proteinY	28.5
95	proteinZ	9.5
96	proteinX	24.0
96	proteinY	28.799999999999997
96	proteinZ	9.600000000000001
97	proteinX	24.25
97	proteinY	29.099999999999998
97	proteinZ	9.700000000000001
98	proteinX	24.5
98	proteinY	29.4
98	proteinZ	9.8
99	proteinX	24.75
99	proteinY	29.7
99	proteinZ	9.9
100	proteinX	25.0
100	proteinY	30.0
100	proteinZ	10.0
101	proteinX	25.25
101	proteinY	30.299999999999997
101	proteinZ	10.100000000000001
102	proteinX	25.5
102	proteinY	30.599999999999998
102	proteinZ	10.200000000000001
103	proteinX	25.75
103	proteinY	30.9
103	proteinZ	10.3
104	proteinX	26.0
104	proteinY	31.2
104	proteinZ	10.4
105	proteinX	26.25
105	proteinY	31.5
105	proteinZ	10.5
106	proteinX	26.5
106	proteinY	31.799999999999997
106	proteinZ	10.600000000000001
107	proteinX	26.75
107	proteinY	32.1
107	proteinZ	10.700000000000001
108	proteinX	27.0
108	proteinY	32.4
108	proteinZ	10.8
109	proteinX	27.25
109	proteinY	32.699999999999996
109	proteinZ	10.9
110	proteinX	27.5
110	proteinY	33.0
110	proteinZ	11.0
111	proteinX	27.75
111	proteinY	33.3
111	proteinZ	11.100000000000001
112	proteinX	28.0
112	proteinY	33.6
112	proteinZ	11.200000000000001
113	proteinX	28.25
113	proteinY	33.9
113	proteinZ	11.3
114	proteinX	28.5
114	proteinY	34.199999999999996
114	proteinZ	11.4
115	proteinX	28.75
115	proteinY	34.5
115	proteinZ	11.5
116	proteinX	29.0
116	proteinY	34.8
116	proteinZ	11.600000000000001
117	proteinX	29.25
117	proteinY	35.1
117	proteinZ	11.700000000000001
118	proteinX	29.5
118	proteinY	35.4
118	proteinZ	11.8
119	proteinX	29.75
119	proteinY	35.699999999999996
119	proteinZ	11.9
120	proteinX	30.0
120	proteinY	36.0
120	proteinZ	12.0
121	proteinX	30.25
121	proteinY	36.3
121	proteinZ	12.100000000000001
122	proteinX	30.5
122	proteinY	36.6
122	proteinZ	12.200000000000001
123	proteinX	30.75
123	proteinY	36.9
123	proteinZ	12.3
124	proteinX	31.0
124	proteinY	37.199999999999996
124	proteinZ	12.4
125	proteinX	31.25
125	proteinY	37.5
125	proteinZ	12.5
126	proteinX	31.5
126	proteinY	37.8
126	proteinZ	12.600000000000001
127	proteinX	31.75
127	proteinY	38.1
127	proteinZ	12.700000000000001
128	proteinX	32.0
128	proteinY	38.4
128	proteinZ	12.8
129	proteinX	32.25
129	proteinY	38.699999999999996
129	proteinZ	12.9
130	proteinX	32.5
130	proteinY	39.0
130	proteinZ	13.0
131	proteinX	32.75
131	proteinY	39.3
131	proteinZ	13.100000000000001
132	proteinX	33.0
132	proteinY	39.6
132	proteinZ	13.200000000000001
133	proteinX	33.25
133	proteinY	39.9
133	proteinZ	13.3
134	proteinX	33.5
134	proteinY	40.199999999999996
134	proteinZ	13.4
135	proteinX	33.75
135	proteinY	40.5
135	proteinZ	13.5
136	proteinX	34.0
136	proteinY	40.8
136	proteinZ	13.600000000000001
137	proteinX	34.25
137	proteinY	41.1
137	proteinZ	13.700000000000001
138	proteinX	34.5
138	proteinY	41.4
138	proteinZ	13.8
139	proteinX	34.75
139	proteinY	41.699999999999996
139	proteinZ	13.9
140	proteinX	35.0
140	proteinY	42.0
140	proteinZ	14.0
141	proteinX	35.25
141	proteinY	42.3
141	proteinZ	14.100000000000001
142	proteinX	35.5
142	proteinY	42.6
142	proteinZ	14.200000000000001
143	proteinX	35.75
143	proteinY	42.9
143	proteinZ	14.3
144	proteinX	36.0
144	proteinY	43.199999999999996
144	proteinZ	14.4
145	proteinX	36.25
145	proteinY	43.5
145	proteinZ	14.5
146	proteinX	36.5
146	proteinY	43.8
146	proteinZ	14.600000000000001
147	proteinX	36.75
147	proteinY	44.1
147	proteinZ	14.700000000000001
148	proteinX	37.0
148	proteinY	44.4
148	proteinZ	14.8
149	proteinX	37.25
149	proteinY	44.699999999999996
149	proteinZ	14.9
150	proteinX	37.5
150	proteinY	45.0
150	proteinZ	15.0
151	proteinX	37.75
151	proteinY	45.0
151	proteinZ	15.0
152	proteinX	38.0
152	proteinY	45.0
152	proteinZ	15.0
153	proteinX	38.25
153	proteinY	45.0
153	proteinZ	15.0
154	proteinX	38.5
154	proteinY	45.0
154	proteinZ	15.0
