time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
0.999314	__proteinX_rbs	1.000000	0.000000	0.000000
0.999314	__proteinY_rbs	2.000000	0.000000	0.000000
0.999314	__proteinZ_rbs	0.000000	0.000000	0.000000
0.999314	__ribosome	98.000000	0.000000	0.000000
0.999314	__rnase_site	1.000000	0.000000	0.000000
0.999314	__rnase_site_ext	3.000000	0.000000	0.000000
0.999314	p1	1.000000	0.000000	0.000000
0.999314	p2	1.000000	0.000000	0.000000
0.999314	proteinX	0.000000	2.000000	1.000000
0.999314	proteinY	0.000000	2.000000	0.000000
0.999314	rnapol	0.000000	0.000000	0.000000
2.000858	__proteinX_rbs	1.000000	0.000000	0.000000
2.000858	__proteinY_rbs	1.000000	0.000000	0.000000
2.000858	__proteinZ_rbs	0.000000	0.000000	0.000000
2.000858	__ribosome	95.000000	0.000000	0.000000
2.000858	__rnase_site	1.000000	0.000000	0.000000
2.000858	__rnase_site_ext	3.000000	0.000000	0.000000
2.000858	p1	1.000000	0.000000	0.000000
2.000858	p2	1.000000	0.000000	0.000000
2.000858	proteinX	0.000000	2.000000	2.000000
2.000858	proteinY	0.000000	2.000000	0.500000
2.000858	rnapol	0.000000	0.000000	0.000000
2.999440	__proteinX_rbs	1.000000	0.000000	0.000000
2.999440	__proteinY_rbs	1.000000	0.000000	0.000000
2.999440	__proteinZ_rbs	0.000000	0.000000	0.000000
2.999440	__ribosome	91.000000	0.000000	0.000000
2.999440	__rnase_site	1.000000	0.000000	0.000000
2.999440	__rnase_site_ext	2.000000	0.000000	0.000000
2.999440	p1	1.000000	0.000000	0.000000
2.999440	p2	1.000000	0.000000	0.000000
2.999440	proteinX	0.000000	2.000000	3.500000
2.999440	proteinY	0.000000	2.000000	1.000000
2.999440	rnapol	0.000000	0.000000	0.000000
3.999827	__proteinX_rbs	0.000000	0.000000	0.000000
3.999827	__proteinY_rbs	3.000000	0.000000	0.000000
3.999827	__proteinZ_rbs	0.000000	0.000000	0.000000
3.999827	__ribosome	88.000000	0.000000	0.000000
3.999827	__rnase_site	0.000000	0.000000	0.000000
3.999827	__rnase_site_ext	2.000000	0.000000	0.000000
3.999827	p1	1.000000	0.000000	0.000000
3.999827	p2	0.000000	0.000000	0.000000
3.999827	proteinX	1.000000	2.000000	4.000000
3.999827	proteinY	0.000000	3.000000	1.000000
3.999827	proteinZ	0.000000	1.000000	1.000000
3.999827	rnapol	0.000000	0.000000	0.000000
5.002609	__proteinX_rbs	2.000000	0.000000	0.000000
5.002609	__proteinY_rbs	3.000000	0.000000	0.000000
5.002609	__proteinZ_rbs	1.000000	0.000000	0.000000
5.002609	__ribosome	85.000000	0.000000	0.000000
5.002609	__rnase_site	2.000000	0.000000	0.000000
5.002609	__rnase_site_ext	3.000000	0.000000	0.000000
5.002609	p1	1.000000	0.000000	0.000000
5.002609	p2	1.000000	0.000000	0.000000
5.002609	proteinX	3.000000	2.000000	3.500000
5.002609	proteinY	0.000000	4.000000	1.500000
5.002609	proteinZ	0.000000	2.000000	1.000000
5.002609	rnapol	0.000000	0.000000	0.000000
5.999346	__proteinX_rbs	1.000000	0.000000	0.000000
5.999346	__proteinY_rbs	1.000000	0.000000	0.000000
5.999346	__proteinZ_rbs	1.000000	0.000000	0.000000
5.999346	__ribosome	81.000000	0.000000	0.000000
5.999346	__rnase_site	2.000000	0.000000	0.000000
5.999346	__rnase_site_ext	3.000000	0.000000	0.000000
5.999346	p1	1.000000	0.000000	0.000000
5.999346	p2	1.000000	0.000000	0.000000
5.999346	proteinX	6.000000	2.000000	3.000000
5.999346	proteinY	1.000000	4.000000	2.250000
5.999346	proteinZ	0.000000	2.000000	2.000000
5.999346	rnapol	0.000000	0.000000	0.000000
6.999014	__proteinX_rbs	1.000000	0.000000	0.000000
6.999014	__proteinY_rbs	1.000000	0.000000	0.000000
6.999014	__proteinZ_rbs	0.000000	0.000000	0.000000
6.999014	__ribosome	73.000000	0.000000	0.000000
6.999014	__rnase_site	1.000000	0.000000	0.000000
6.999014	__rnase_site_ext	3.000000	0.000000	0.000000
6.999014	p1	0.000000	0.000000	0.000000
6.999014	p2	1.000000	0.000000	0.000000
6.999014	proteinX	7.000000	2.000000	3.500000
6.999014	proteinY	1.000000	4.000000	3.250000
6.999014	proteinZ	0.000000	2.000000	3.500000
6.999014	rnapol	0.000000	0.000000	0.000000
7.999861	__proteinX_rbs	3.000000	0.000000	0.000000
7.999861	__proteinY_rbs	2.000000	0.000000	0.000000
7.999861	__proteinZ_rbs	1.000000	0.000000	0.000000
7.999861	__ribosome	71.000000	0.000000	0.000000
7.999861	__rnase_site	3.000000	0.000000	0.000000
7.999861	__rnase_site_ext	4.000000	0.000000	0.000000
7.999861	p1	1.000000	0.000000	0.000000
7.999861	p2	1.000000	0.000000	0.000000
7.999861	proteinX	10.000000	3.000000	2.000000
7.999861	proteinY	3.000000	4.000000	3.500000
